# OLD VERSION<tab>OLD RETURN<tab>OLD NAME<tab>OLD ARGS<tab>NEW VERSION<tab>NEW RETURN<tab>NEW NAME<tab>NEW ARGS<tab>NOTES
# OLD VERSION<tab>type<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
# OLD VERSION<tab>enum<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
#
# Functions
#
0.9.23	enum	-	-	0.9.24	enum	RASQAL_UPDATE_TYPE_ADD	-	SPARQL 1.1 Update ADD operation
0.9.23	enum	-	-	0.9.24	enum	RASQAL_UPDATE_TYPE_MOVE	-	SPARQL 1.1 Update MOVE operation
0.9.23	enum	-	-	0.9.24	enum	RASQAL_UPDATE_TYPE_COPY	-	SPARQL 1.1 Update COPY operation
0.9.24	enum	-	-	0.9.25	enum	RASQAL_EXPR_ABS	-	Expression for SPARQL 1.1 ABS(numeric)
0.9.24	enum	-	-	0.9.25	enum	RASQAL_EXPR_ROUND	-	Expression for SPARQL 1.1 ROUND(numeric)
0.9.24	enum	-	-	0.9.25	enum	RASQAL_EXPR_CEIL	-	Expression for SPARQL 1.1 CEIL(numeric)
0.9.24	enum	-	-	0.9.25	enum	RASQAL_EXPR_FLOOR	-	Expression for SPARQL 1.1 FLOOR(numeric)
0.9.24	enum	-	-	0.9.25	enum	RASQAL_EXPR_RAND	-	Expression for SPARQL 1.1 RAND()
0.9.24	enum	-	-	0.9.25	enum	RASQAL_EXPR_TZ	-	Expression for SPARQL 1.1 TZ(datetime) timezone accessor
0.9.25	enum	-	-	0.9.26	enum	RASQAL_EXPR_MD5	-	Expression for SPARQL 1.1 MD5(literal) message digest
0.9.25	enum	-	-	0.9.26	enum	RASQAL_EXPR_SHA1	-	Expression for SPARQL 1.1 SHA1(literal) message digest
0.9.25	enum	-	-	0.9.26	enum	RASQAL_EXPR_SHA224	-	Expression for SPARQL 1.1 SHA224(literal) message digest
0.9.25	enum	-	-	0.9.26	enum	RASQAL_EXPR_SHA256	-	Expression for SPARQL 1.1 SHA256(literal) message digest
0.9.25	enum	-	-	0.9.26	enum	RASQAL_EXPR_SHA384	-	Expression for SPARQL 1.1 SHA384(literal) message digest
0.9.25	enum	-	-	0.9.26	enum	RASQAL_EXPR_SHA512	-	Expression for SPARQL 1.1 SHA512(literal) message digest
0.9.28	enum	-	-	0.9.29	enum	RASQAL_LITERAL_DATE	-	Date literal type
0.9.28	enum	-	-	0.9.29	enum	RASQAL_EXPR_STRUUID	-	Expression for STRUUID() string UUID
0.9.28	enum	-	-	0.9.29	enum	RASQAL_EXPR_UUID	-	Expression for UUID() UUID
0.9.30	enum	-	-	0.9.30	enum	RASQAL_GRAPH_PATTERN_OPERATOR_VALUES	-	Graph pattern for VALUES()
